acount_name,user_name,posts,followers,following,taux_engagement,Topic,profile_desc,image
@cristiano,cristiano ronaldo,3503,590270342.0,563,0.91%,Health Style Fashion Music Travel Art Photography Creativity,Join my NFT journey on @Binance. Click the link below to get started.,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzuFTiKV1RQ0=.jpeg
@leomessi,leo messi,1043,473301474.0,281,1.69%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQy+VTi6Z5Tg0=.jpeg
@selenagomez,selena gomez,1894,422392150.0,250,2.54%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,"By grace, through faith. Founder @rarebeauty Founder/CIO @officialwondermind",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQz+JTiKZ2RQ4=.jpeg
@kyliejenner,kylie,6833,394392699.0,87,0.69%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,@kyliecosmetics @kylieskin @kylieswim @kyliebaby,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+Bej61wQA==.jpeg
@therock,dwayne johnson,7311,384404187.0,694,0.13%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,founder,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyuBXh6dwTw8=.jpeg
@arianagrande,ariana grande,125,374311302.0,599,0.85%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,currently somewhere over the rainbow,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUTzuNfiKx3.jpeg
@kimkardashian,kim kardashian,5856,359961901.0,265,0.37%,Health Style Fashion Music Travel Art Photography Creativity,@skims @skkn @skkypartners,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVweZUhqN0Tw==.jpeg
@beyonce,beyoncé,2080,312126728.0,0,0.67%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,"📍COLOGNE, DE",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzeVfiqFxRAk=.jpeg
@khloekardashian,khloé kardashian,4262,309037646.0,104,0.24%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,@kardashianshulu @goodamerican TikTok 🤍@khloekardashian,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyepTiKVyRQg=.jpeg
@justinbieber,justin bieber,7410,292080540.0,738,1.03%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,JUSTICE the album out now @drewhouse,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUSweRWj614.jpeg
@kendalljenner,kendall,628,290925788.0,230,1.35%,Culture Religion SocialMedia Sports Leisure Family Travel Cinema Comedy Beauty Fashion,@drink818,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUSyupWh6Zx.jpeg
@virat.kohli,virat kohli,1612,252678204.0,279,1.13%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Carpediem!,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyetSjKVxQg1L.jpeg
@jlo,jennifer lopez,729,247583762.0,1519,0.20%,Food Comedy Sports Family Music Art  Events Health Family Education,This Is Me … Now 💚 @Delola the Drink of the Summer 🩵☀️,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXyedRjqR2RgQ=.jpeg
@nickiminaj,barbie,6497,221703177.0,654,0.42%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,PRE-SAVE #BARBIEWORLD NOW w/IceSpice🎀🎀🎀#RedRubyDaSleeze OFFICIAL VIDEO OUT NOW‼️‼️‼️#PoundTown2 with SexyyRed out now‼️‼️‼️‼️#QueenRadio @onamp,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQzONTiaZxQgs=.jpeg
@katyperry,katy perry,2228,201186845.0,758,0.10%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,LOVE is the key that unlocks every door ♥️🗝,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQyeVfiKFxTwU=.jpeg
@zendaya,zendaya,3485,182176360.0,1786,2.84%,Photography Celebrations  Sports Music Fashion Beauty Entertainment SocialMedia Travel Nature,Challengers 2023 @dunemovie Nov 3rd @euphoria @spidermanmovie,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUdzuVRiqB0.jpeg
@iamcardib,cardi b,1684,166579029.0,3393,1.09%,Photography Celebrations  Sports Music Fashion Beauty Entertainment SocialMedia Travel Nature,Cardibofficial.com| | GOD IS GREAT🙏🏼,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeFQhqB4TwRO.jpeg
@chrisbrownofficial,brown,7455,141514744.0,0,0.22%,Style Fashion Music SocialMedia Entertainment Education Travel Health Sports Family,Anthony.at.CBE@gmail.com. 11:11,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWwOFfiqVxQw==.jpeg
@realmadrid,real madrid c.f.,9289,141477153.0,50,0.53%,Food Comedy Sports Family Music Art  Events Health Family Education,⚽️ Official profile of Real Madrid C.F. 🏆 14 times European Champions 🌍 FIFA Best Club of the 20th Century 👉 Follow @madridistas,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWwOJWjKZzRAw=.jpeg
@champagnepapi,champagnepapi,325,139009539.0,3031,0.77%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,@stake stake.com @officialnocta @octobersveryown @betterworldfragrancehouse @drakerelated,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeZTi61yRg==.jpeg
@fcbarcelona,fc barcelona,18904,122414449.0,85,0.59%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,🔵🔴 Més Que Un Club La Liga is ours. 🏆 So is the future. ✨ ♦️ NEW KIT ♦️👇,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWz+JViaB3QA4=.jpeg
@k.mbappe,kylian mbappé,1241,104645022.0,394,2.56%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,PSG & France,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQy+NVi6R5QgVF.jpeg
@gal_gadot,gal gadot,1762,104453104.0,1162,0.59%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,@pilotwavemotionpictures 🌈 Meet GOODLES - Mac & Cheese that is just gooder!,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWyeVehqN4RQ==.jpeg
@k.mbappe,kylian mbappé,1239,104368951.0,395,2.73%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,PSG & France,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUQy+NVi6R5QgVF.jpeg
@priyankachopra,priyanka,3720,88415211.0,754,0.95%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,There is a first time for everything 💋,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzupTjaJ1Tw8=.jpeg
@dualipa,dua lipa,1479,88340255.0,1070,1.07%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,@service95 @sunnyhillfestival @sunnyhillfoundation,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+FVj6R4Qg==.jpeg
@shraddhakapoor,shraddha ✶,1951,81173550.0,808,1.79%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,Living the dream! 🦄♾🌱❤️🦋💫💜,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWwORXjqd0QA8=.jpeg
@snoopdogg,snoopdogg,57299,80073424.0,6958,0.05%,Fashion Beauty Photography Travel Lifestyle Art Culture Events Influencers SocialMedia Education Food Entrepreneurship Family,@deathrowrecords catalog streaming everywhere Official store @snoopysclothing + @snoopermarket,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOVSjq1y.jpeg
@davidbeckham,david beckham,1667,79878801.0,604,0.67%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Freedom to Dream,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVweRfjqF4Qg8=.jpeg
@gigihadid,gigi hadid,3338,78691639.0,1458,2.03%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,"khai’s mom. founder, creative director @guestinresidence. IMG Worldwide. ⁣📷 @gisposable !!!⁣",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+tfi6J2QQ==.jpeg
@aliaabhatt,alia bhatt 💛,1940,77795258.0,515,1.58%,Fashion Beauty Photography Travel Lifestyle Art Culture Events Influencers SocialMedia Education Food Entrepreneurship Family,currently dreaming 💭,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzOtfjKB2QQ8=.jpeg
@narendramodi,narendra modi,595,75935253.0,0,2.08%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Prime Minister of India 🇮🇳,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzOdWiKxyRA9K.jpeg
@deepikapadukone,दीपिका पादुकोण,428,74400814.0,185,1.11%,Fashion Beauty Health Sports Music Dance Fitness Art LifeStyle ,Co-founder: 82°E Latest Drop: Licorice Beam Clear Sunscreen Gel Founder: LiveLoveLaugh,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMURzuBUh6xzQAo=.jpeg
@nehakakkar,neha kakkar,142,74355771.0,291,0.78%,Health Style Fashion Music Travel Art Photography Creativity,Check it out!,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUWzeFXjqZwRg8=.jpeg
@katrinakaif,katrina kaif,1040,73265604.0,535,3.28%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Kay Beauty 💄@kaybykatrina,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXzORUh61zTwhJ.jpeg
@emmawatson,emma watson,432,71969948.0,78,2.21%,Family Music Beauty Fashion Dance Business Food Entertainment Culture Sports Pets Technology,"Actor, Director, Creative Director",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzeNeiKBzRwxN.jpeg
@karimbenzema,karim benzema,2140,71167691.0,142,2.40%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,info@thebenzemakarim.com,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVy+FSjaVwQg1M.jpeg
@tomholland2013,tom holland,1233,67053974.0,298,4.58%,Art Creativity Cinema Family  Entertainment Music Dance Photography Culture Food Lifestyle Technology Sports,THE CROWDED ROOM JUNE 9th,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVzuRQj61wTwQ=.jpeg
@urvashirautela,urvashi rautela,1104,66388844.0,73,0.23%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,Actress ★ MissUniverse Judge ★ MissUniverse🇮🇳x2🏆Maximum Beauty Titles Winner Record Holder★ International Performer ★ Producer ★ Singer UR Foundation®,https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUXz+tRj6xxQgg=.jpeg
@anushkasharma,anushkasharma1588,1257,64400174.0,583,1.64%,LifeStyle Family Competition Art Food Fashion Beauty  Health Music Entertainment Sports Leisure  SocialMedia Events Celebrations Travel  Tourism  Education ,""" After all , we're all just walking each other home "" 💫",https://cdn1.picuki.com/hosted-by-instagram/q/yep6IPkO1EBGZyPbcMUVwORSjaF4QAU=.jpeg
